?p	?t	?prec	?cal	?place	?placeLabel	?coord
<http://www.wikidata.org/entity/Q8747>	-0284-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/.well-known/genid/3fd9fff90c7b303e5b800d571c58399c>		
<http://www.wikidata.org/entity/Q4604>	-0478-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1012627>	"Si River"@en	POINT(116.653610 35.225280)
<http://www.wikidata.org/entity/Q4604>	-0478-03-04T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1012627>	"Si River"@en	POINT(116.653610 35.225280)
<http://www.wikidata.org/entity/Q33772>	0770-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q10396939>	"Tanzhou"@en	POINT(113.131944 28.243889)
<http://www.wikidata.org/entity/Q762>	1519-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1122731>	"Clos Lucé"@en	POINT(0.992040 47.410240)
<http://www.wikidata.org/entity/Q762>	1519-05-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1122731>	"Clos Lucé"@en	POINT(0.992040 47.410240)
<http://www.wikidata.org/entity/Q12998>	1966-06-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q118958>	"Leuven"@en	POINT(4.704444 50.877500)
<http://www.wikidata.org/entity/Q1067>	1321-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q13364>	"Ravenna"@en	POINT(12.201667 44.416111)
<http://www.wikidata.org/entity/Q1067>	1321-09-21T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q13364>	"Ravenna"@en	POINT(12.201667 44.416111)
<http://www.wikidata.org/entity/Q1067>	1321-09-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q13364>	"Ravenna"@en	POINT(12.201667 44.416111)
<http://www.wikidata.org/entity/Q1067>	1321-09-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q13364>	"Ravenna"@en	POINT(12.201667 44.416111)
<http://www.wikidata.org/entity/Q108350306>	1796-09-01T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1348>	"Kolkata"@en	POINT(88.370000 22.567500)
<http://www.wikidata.org/entity/Q273969>	1794-04-27T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1348>	"Kolkata"@en	POINT(88.370000 22.567500)
<http://www.wikidata.org/entity/Q273969>	1794-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1348>	"Kolkata"@en	POINT(88.370000 22.567500)
<http://www.wikidata.org/entity/Q234888>	2016-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q138518>	"Princeton"@en	POINT(-74.656945 40.352222)
<http://www.wikidata.org/entity/Q234888>	2016-12-25T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q138518>	"Princeton"@en	POINT(-74.656945 40.352222)
<http://www.wikidata.org/entity/Q41390>	1978-01-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q138518>	"Princeton"@en	POINT(-74.656945 40.352222)
<http://www.wikidata.org/entity/Q37970>	1884-01-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q14960>	"Brno"@en	POINT(16.608333 49.195278)
<http://www.wikidata.org/entity/Q9038>	0850-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1530>	"Baghdad"@en	POINT(44.366111 33.315278)
<http://www.wikidata.org/entity/Q9038>	0846-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1530>	"Baghdad"@en	POINT(44.366111 33.315278)
<http://www.wikidata.org/entity/Q9038>	0850-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1530>	"Baghdad"@en	POINT(44.366111 33.315278)
<http://www.wikidata.org/entity/Q892>	1973-09-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q170478>	"Bournemouth"@en	POINT(-1.880000 50.720000)
<http://www.wikidata.org/entity/Q151722>	1686-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1709>	"Schwerin"@en	POINT(11.415000 53.628889)
<http://www.wikidata.org/entity/Q107094685>	1972-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q173813>	"Stanford"@en	POINT(-122.166079 37.424109)
<http://www.wikidata.org/entity/Q7085>	1962-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1748>	"Copenhagen"@en	POINT(12.568889 55.676111)
<http://www.wikidata.org/entity/Q7085>	1962-11-18T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1748>	"Copenhagen"@en	POINT(12.568889 55.676111)
<http://www.wikidata.org/entity/Q178577>	1964-03-18T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
<http://www.wikidata.org/entity/Q9191>	1650-02-11T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
<http://www.wikidata.org/entity/Q9191>	1650-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
